S.No.,Area,Total Population,Total Population Age 7 and Above,Total Males,Total Females,Illiterate Population,Illiterate Males,Illiterate Females,Literate Population,Literate Males,Literate Females,Literate without educational level Population ,Literate without educational level Males,Literate without educational level Females,Below primary Population,Below primary Males,Below primary Females,Primary Population,Primary Males,Primary Females,Middle Population,Middle Males,Middle Females,Matric/Secondary Population,Matric/Secondary Males,Matric/Secondary Females,Higher secondary/Intermediate Pre-University/Senior secondaryPopulation,Higher secondary/Intermediate Pre-University/Senior secondary Males,Higher secondary/Intermediate Pre-University/Senior secondary Females,Non-technical diploma or certificate not equal to degree Population ,Non-technical diploma or certificate not equal to degree Males,Non-technical diploma or certificate not equal to degree Females,Technical diploma or certificate not equal to degree Population,Technical diploma or certificate not equal to degree Males,Technical diploma or certificate not equal to degree Females,Graduate & above Population,Graduate & above Males,Graduate & above Females,Unclassified Population,Unclassified Males,Unclassified Females,Literacy Rate (2001) (%),Literacy Rate 1991 (%),Change in Literacy Rate (1991 & 2001)(%),(Total Population 1991),Growth Rate (1991 & 2001) (%)
1,INDIA,1028610328,864790714,532156772,496453556,467922531,195623056,272299475,560687797,336533716,224154081,20022966,11361139,8661827,144831273,81148130,63683143,146740047,83525450,63214597,90226846,55940422,34286424,79229721,51201516,28028205,37816215,24596339,13219876,386146,258604,127542,3666680,2900839,765841,37670147,25533308,12136839,97756,67969,29787,64.83508529,52.21545258,12.61963271,"846,421,039",21.52466451
2,State - CHANDIGARH  04,900635,785022,506938,393697,257390,124252,133138,643245,382686,260559,5945,3444,2501,88518,50888,37630,115349,66155,49194,90111,55766,34345,124607,79197,45410,69718,41533,28185,1223,359,864,8854,5966,2888,138441,79120,59321,479,258,221,81.93974182,77.81489991,4.124841909,"642,015",40.28254792
3,State - DELHI  07,13850507,11833658,7607234,6243273,4185743,1906387,2279356,9664764,5700847,3963917,96319,54600,41719,1534913,852975,681938,1967466,1093728,873738,1531690,929152,602538,1691495,1077847,613648,1027524,618977,408547,8747,5019,3728,42848,31481,11367,1761915,1035757,726158,1847,1311,536,81.67182117,75.2861934,6.385627774,"9,420,644",47.02293177
4,State - DAMAN & DIU  25,158204,137626,92512,65692,50604,21520,29084,107600,70992,36608,443,302,141,21565,12399,9166,27208,16449,10759,20664,14052,6612,15549,11627,3922,14280,10364,3916,58,43,15,1608,1270,338,6209,4474,1735,16,12,4,78.18290149,71.20082044,6.98208105,"101,586",55.73405784
5,State - DADRA & NAGAR HAVELI  26,220490,180291,121666,98824,116586,49517,67069,103904,72149,31755,1228,880,348,26108,16321,9787,25077,16787,8290,15408,11124,4284,15159,11658,3501,10344,7630,2714,122,97,25,2544,2094,450,7896,5545,2351,18,13,5,57.63127388,40.70637371,16.92490018,"138,477",59.22499765
6,State - PONDICHERRY  34,974345,857186,486961,487384,277978,108203,169775,696367,378758,317609,10668,6038,4630,96631,48838,47793,182684,90538,92146,141966,74858,67108,125899,73213,52686,54479,29288,25191,1219,835,384,14451,11628,2823,68364,43519,24845,6,3,3,81.23872765,74.73766472,6.501062929,"807,785",20.61934797
7,State - ANDAMAN & NICOBAR ISLANDS  35,356152,311371,192972,163180,103017,46141,56876,253135,146831,106304,1969,1224,745,53401,29312,24089,70777,40793,29984,56170,32982,23188,34656,20937,13719,18545,10779,7766,50,29,21,2647,1857,790,14903,8905,5998,17,13,4,81.29690947,73.01632012,8.280589354,"280,661",26.89757394
