S.no.,Area,Total Population,Total Population age 7 and above,Total Males,Total Females,Illiterate Population,Illiterate Males,Illiterate Females,Literate Population,Literate Males,Literate Females,Literate without educational level Population ,Literate without educational level Males,Literate without educational level Females,Below primary Population,Below primary Males,Below primary Females,Primary Population,Primary Males,Primary Females,Middle Population,Middle Males,Middle Females,Matric/Secondary Population,Matric/Secondary Males,Matric/Secondary Females,Higher secondary/Intermediate Pre-University/Senior secondaryPopulation,Higher secondary/Intermediate Pre-University/Senior secondary Males,Higher secondary/Intermediate Pre-University/Senior secondary Females,Non-technical diploma or certificate not equal to degree Population ,Non-technical diploma or certificate not equal to degree Males,Non-technical diploma or certificate not equal to degree Females,Technical diploma or certificate not equal to degree Population,Technical diploma or certificate not equal to degree Males,Technical diploma or certificate not equal to degree Females,Graduate & above Population,Graduate & above Males,Graduate & above Females,Literacy Rate 2011 (%),Literacy Rate (2001) (%),Change in Literacy Rate (2001 & 2011) (%),Total Population (2001),Growth Rate (2001 & 2011) (%)
1,INDIA,1210854977,1046339724,623270258,587584719,447216165,188506636,258709529,763638812,434763622,328875190,35153231,19278416,15874815,146897597,78445099,68452498,184170833,99311072,84859761,133903266,77629578,56273688,105939743,63769834,42169909,77942593,46481321,31461272,1072289,726565,345724,7238719,5354161,1884558,68288971,42120460,26168511,72.9819192069592,64.8350852897803,8.14683391717891,1028610328,17.717559705467
2,State - CHANDIGARH,1055450,936016,580663,474787,250012,115317,134695,805438,465346,340092,11254,5586,5668,90869,51211,39658,130243,73645,56598,111879,67964,43915,142206,88021,54185,107599,63200,44399,1506,510,996,13801,9660,4141,194453,104748,89705,86.0495974427788,81.9397418161529,4.10985562662584,900635,17.189538492286
3,State - NCT OF DELHI,16787941,14775487,8987326,7800615,4050174,1792470,2257704,12737767,7194856,5542911,453455,239952,213503,1458061,796975,661086,2230894,1197622,1033272,1931411,1099958,831453,2186314,1318133,868181,1598435,930296,668139,12538,6430,6108,94586,61852,32734,2757844,1535972,1221872,86.2087794466605,81.6718211731318,4.5369582735288,13850507,21.2081333917957
4,State - DAMAN & DIU,243247,216313,150301,92946,54841,25658,29183,188406,124643,63763,6498,4342,2156,26623,15332,11291,41447,26048,15399,35626,24792,10834,39489,27874,11615,22340,15227,7113,162,120,42,2997,2226,771,12802,8425,4377,87.0987874052877,78.1829014866377,8.91588591865001,158204,53.7552779954995
5,State - DADRA & NAGAR HAVELI,343709,292814,193760,149949,120479,51239,69240,223230,142521,80709,13111,8683,4428,43709,24482,19227,48436,28803,19633,37385,24919,12466,34255,24529,9726,21529,14623,6906,344,275,69,4748,3645,1103,19174,12227,6947,76.2361089292179,57.631273884997,18.6048350442208,220490,55.8841670824074
6,State - LAKSHADWEEP,64473,57218,33123,31350,11920,5100,6820,52553,28023,24530,2729,1250,1479,9410,4523,4887,12813,6500,6313,11305,5970,5335,5775,3252,2523,7178,4395,2783,112,77,35,853,551,302,2302,1458,844,91.8469712328288,86.6638220291317,5.18314920369716,60650,6.30338004946414
7,State - PUDUCHERRY,1247953,1115095,612511,635442,290644,115133,175511,957309,497378,459931,23696,11510,12186,93186,45162,48024,187723,89632,98091,171301,85255,86046,161826,87749,74077,132950,68217,64733,2204,1293,911,39316,27765,11551,142029,79482,62547,85.8499948434887,81.2387276507082,4.61126719278043,974345,28.0812237964992
8,State - ANDAMAN & NICOBAR ISLANDS,380581,339703,202871,177710,86300,38494,47806,294281,164377,129904,5902,3041,2861,42129,22513,19616,68415,37920,30495,68620,39337,29283,45104,26053,19051,33531,18299,15232,301,180,121,5138,2935,2203,24159,13622,10537,86.6289081933336,81.2969094745497,5.33199871878394,356152,6.85915002583167
