S.No.,State,Total_Population,Male_Population,Female_Population,Hindu_Population ,Hindu_Males,Hindu_Females,Muslim_Population ,Muslim_Males,Muslim_Females,Christian_Population,Christian_Males,Christian_Females,Sikh_Population,Sikh_Males,Sikh_Females,Buddhist_Population ,Buddhist_Males,Buddhist_Females,Jain_Population ,Jain_Males,Jain_Females,Main_Workers_Population,Main_Workers__Males,Main_Workers__Females,Marginal_Workers_Population,Marginal_Workers_Males,Marginal_Workers_Females ,NonWorkers_Population,NonWorkers_Males,NonWorkers__Females,Illiterates_Males,Illiterates_Females,Literates (Total)_Males,Literates (Total)_Females,Literate Without Education Level_Males,Literate Without Education Level_Females,Below_Primary_Males,Below_Primary_Females,Primary_Males,Primary_Females,Middle_Males,Middle_Females,Matric/Secondary_Males,Matric/Secondary_Females,Higher Secondary/Intermediate/Pre-University/Senior secondary_Males,Higher Secondary/Intermediate/Pre-University/Senior secondary_Females,Non-technical diploma or certificate not equal to degree_Males,Non-technical diploma or certificate not equal to degree_Females,Technical diploma or certificate not equal to degree_Males,Technical diploma or certificate not equal to degree_Females,Graduate & above_Males,Graduate & above_Females
1,State - JAMMU & KASHMIR  01,10143700,5360926,4782774,3005349,1647533,1357816,6793240,3525446,3267794,20299,12733,7566,207154,114524,92630,113787,58610,55177,2518,1357,1161,2608668,2226958,381710,1145147,452983,692164,6389885,2680985,3708900,160993,147458,1236475,918517,6543,3436,416556,325196,342464,258158,221811,162104,136760,96939,80613,54381,140,44,821,324,30645,17848
2,State - HIMACHAL PRADESH  02,6077900,3087940,2989960,5800222,2939150,2861072,119512,66173,53339,7687,4220,3467,72355,38118,34237,75859,39066,36793,1408,750,658,1963882,1333361,630521,1028579,353297,675282,3085439,1401282,1684157,65070,60293,846680,735972,1874,1769,299096,273075,226202,203446,136693,118315,99962,78308,62139,47824,144,156,1660,657,18815,12343
3,State - PUNJAB  03,24358999,12985045,11373954,8997942,4874765,4123177,382045,213023,169022,292800,154673,138127,14592387,7692776,6899611,41487,22171,19316,39276,20523,18753,7835732,6426028,1409704,1291742,534185,757557,15231525,6024832,9206693,334998,274274,2857105,2344841,5302,4462,1211022,948176,750385,619979,416407,337254,267359,231525,155283,154441,875,504,9613,4538,40377,43513
4,State - CHANDIGARH  04,900635,506938,393697,707978,403191,304787,35548,21539,14009,7627,3947,3680,145175,76000,69175,1332,717,615,2592,1336,1256,328989,277050,51939,11433,7369,4064,560213,222519,337694,16150,13418,119969,97428,194,139,39909,31395,26473,21554,16330,13284,13789,11368,14667,12790,38,60,917,364,7591,6418
5,State - UTTARANCHAL  05,8489349,4325924,4163425,7212260,3646560,3565700,1012141,539740,472401,27116,13833,13283,212025,111723,100302,12434,6992,5442,9249,4791,4458,2322347,1639242,683105,811689,356935,454754,5355313,2329747,3025566,126711,120951,1208157,979792,4630,4511,461716,412837,301353,251599,210837,140678,115569,84522,73466,60912,170,52,2609,441,37439,23901
6,State - HARYANA  06,21144564,11363953,9780611,18655925,10041282,8614643,1222916,654040,568876,27185,14175,13010,1170662,618558,552104,7140,4004,3136,57167,29914,27253,6241324,4933004,1308320,2136142,782522,1353620,12767098,5648427,7118671,260104,213857,2885232,2078823,6118,4368,1194610,931579,724852,539770,403015,273866,311728,185892,181422,109594,839,761,8420,1909,53971,30931
7,State - DELHI  07,13850507,7607234,6243273,11358049,6249351,5108698,1623520,911006,712514,130319,62763,67556,555602,288675,266927,23705,12958,10747,155122,80150,74972,4317516,3794345,523171,227718,165756,61962,9305273,3647133,5658140,206997,179834,1793079,1473501,4525,2078,659295,547768,450407,379878,259249,212869,187214,154843,144786,122029,567,284,4031,1630,82543,51911
8,State - RAJASTHAN  08,56507188,29420011,27087177,50151452,26122326,24029126,4788227,2482394,2305833,72660,36591,36069,818420,432534,385886,10335,5734,4601,650493,331871,318622,17436888,12841318,4595570,6329767,1854484,4475283,32740533,14724209,18016324,974626,870416,7126165,4386570,111012,239603,3429215,2455941,1770520,923740,868245,375372,497849,218128,313787,127557,688,236,3950,1311,130895,44682
9,State - UTTAR PRADESH  09,166197921,87565369,78632552,133979263,70756011,63223252,30740158,16028562,14711596,212578,108430,104148,678059,361320,316739,302031,159408,142623,207111,108350,98761,39337649,34338260,4999389,14646175,6643298,8002877,112214097,46583811,65630286,2279408,2038515,19867218,12986564,148819,106157,8606244,6485676,4853921,3186375,2898790,1542772,1735958,894204,1036153,564637,4310,717,13689,2307,562886,200763
10,State - BIHAR  10,82998509,43243795,39754714,69076919,36077374,32999545,13722048,7061908,6660140,53137,26913,26224,20780,11057,9723,18818,10220,8598,16085,8446,7639,21052875,17511018,3541857,6921731,2971985,3949746,55023903,22760792,32263111,778926,648359,7790512,4510986,99009,57110,3339380,2273024,1913727,1160662,1096583,556408,656971,274725,470376,144644,3769,626,6213,1040,200932,41144
