S.No.,State,Total_Population,Male_Population,Female_Population,Hindu_Population ,Hindu_Males,Hindu_Females,Muslim_Population ,Muslim_Males,Muslim_Females,Christian_Population,Christian_Males,Christian_Females,Sikh_Population,Sikh_Males,Sikh_Females,Buddhist_Population ,Buddhist_Males,Buddhist_Females,Jain_Population ,Jain_Males,Jain_Females,Main_Workers_Population,Main_Workers__Males,Main_Workers__Females,Marginal_Workers_Population,Marginal_Workers_Males,Marginal_Workers_Females ,NonWorkers_Population,NonWorkers_Males,NonWorkers__Females,Illiterates_Males,Illiterates_Females,Literates (Total)_Males,Literates (Total)_Females,Literate Without Education Level_Males,Literate Without Education Level_Females,Below_Primary_Males,Below_Primary_Females,Primary_Males,Primary_Females,Middle_Males,Middle_Females,Matric/Secondary_Males,Matric/Secondary_Females,Higher Secondary/Intermediate/Pre-University/Senior secondary_Males,Higher Secondary/Intermediate/Pre-University/Senior secondary_Females,Non-technical diploma or certificate not equal to degree_Males,Non-technical diploma or certificate not equal to degree_Females,Technical diploma or certificate not equal to degree_Males,Technical diploma or certificate not equal to degree_Females,Graduate & above_Males,Graduate & above_Females
11,State - SIKKIM  11,540851,288484,252367,329548,177900,151648,7693,5346,2347,36115,18428,17687,1176,1061,115,152042,78191,73851,183,110,73,212904,146541,66363,50139,19175,30964,277808,122768,155040,14314,14009,66123,61666,815,107,31909,29116,17242,17359,8288,8376,4138,3969,2760,2187,9,0,36,10,848,542
12,State - ARUNACHAL PRADESH  12,1097968,579941,518027,379935,217195,162740,20675,12726,7949,205548,102606,102942,1865,1475,390,143028,72618,70410,216,130,86,415007,267384,147623,67895,26228,41667,615066,286329,328737,21399,18866,120968,94701,409,225,54455,44823,31390,26230,16831,12774,10106,6857,5553,3087,14,2,177,76,2030,626
13,State - NAGALAND  13,1990036,1047141,942895,153162,96808,56354,35005,21690,13315,1790349,922406,867943,1152,774,378,1356,761,595,2093,1130,963,703977,424811,279166,143819,64157,79662,1142240,558173,584067,43244,41335,306921,259904,950,793,87333,76324,84045,74596,57990,50091,38415,31551,27261,19992,51,37,211,47,10596,6416
14,State - MANIPUR  14,2166788,1095634,1071154,996894,505108,491786,190939,96787,94152,737578,373173,364405,1653,1091,562,1926,1025,901,1461,793,668,659364,430227,229137,285849,96989,188860,1221575,568418,653157,60744,59324,317520,277174,895,597,80477,72624,75161,67838,66684,59696,43289,37618,34331,28240,29,9,313,153,16260,10335
15,State - MIZORAM  15,888573,459109,429464,31562,23528,8034,10099,7946,2153,772809,389155,383654,326,251,75,70494,36540,33954,179,103,76,362450,225428,137022,104709,37580,67129,421414,196101,225313,13032,12301,112047,103934,207,221,51920,46615,28153,27067,15609,16202,8480,8185,5131,4174,1,2,116,38,2423,1429
16,State - TRIPURA  16,3199203,1642225,1556978,2739310,1405428,1333882,254442,130788,123654,102489,52815,49674,1182,1074,108,98922,50575,48347,477,249,228,912292,742054,170238,247269,89292,157977,2039642,810879,1228763,35799,36178,395434,337730,1670,1549,170053,152460,119630,103569,62958,52534,26864,19367,10044,6304,18,4,324,49,3860,1891
17,State - MEGHALAYA  17,2318822,1176087,1142735,307822,168517,139305,99169,52455,46714,1628986,812961,816025,3110,1810,1300,4703,2513,2190,772,405,367,757011,485694,271317,213135,82797,130338,1348676,607596,741080,46624,46259,245355,243237,861,711,117201,113807,56527,59594,30817,33019,22234,21079,12339,10672,15,2,136,57,5182,4267
18,State - ASSAM  18,26655528,13777037,12878491,17296455,8951108,8345347,8240611,4252691,3987920,986589,502756,483833,22519,13508,9011,51029,26322,24707,23957,12840,11117,7114097,5849032,1265065,2424494,1021928,1402566,17116937,6906077,10210860,359502,347261,2815959,2398487,8619,4287,1077695,944834,706654,616721,471392,429840,340854,271326,160364,102874,136,24,2114,500,47279,27550
19,State - WEST BENGAL  19,80176197,41465985,38710212,58104835,30069503,28035332,20240543,10470406,9770137,515150,257337,257813,66391,36738,29653,243364,122877,120487,55223,28631,26592,23023583,19494971,3528612,6458107,2893073,3565034,50694507,19077941,31616566,901337,919554,8147912,6811399,61222,45594,3871835,3529953,2053409,1771791,993346,769908,594306,390550,394867,221233,506,132,8208,1443,166951,79557
20,State - JHARKHAND  20,26945829,13885037,13060792,18475681,9582113,8893568,3731308,1924730,1806578,1093382,541703,551679,83358,45348,38010,5940,3151,2789,16301,8457,7844,6446782,5134067,1312715,3662248,1525789,2136459,16836799,7225181,9611618,323651,282848,2877971,1901209,17400,13428,1200207,902867,706508,473335,435663,260092,257192,137052,182787,86573,1060,174,2412,269,74469,27204
21,State - ORISSA  21,36804660,18660570,18144090,34726129,17615951,17110178,761985,391234,370751,897861,443245,454616,17492,9448,8044,9863,5180,4683,9154,4736,4418,9589269,8004740,1584529,4687219,1797266,2889953,22528172,8858564,13669608,520970,496512,3576753,2763253,16557,10117,1379406,1164699,965163,777664,540480,414730,319854,220641,250035,138164,1644,291,13488,2248,90121,34699
22,State - CHHATTISGARH  22,20833803,10474218,10359585,19729670,9915670,9814000,409615,210829,198786,401035,198471,202564,69621,36662,32959,65267,32444,32823,56103,29186,26917,7054595,4742935,2311660,2625276,788924,1836352,11153932,4942359,6211573,256747,251032,2324975,1773823,25830,27912,1082985,954510,629714,467364,273130,163680,154409,86166,106976,54189,363,209,4823,1065,46610,18660
23,State - MADHYA PRADESH  23,60348023,31443652,28904371,55004675,28685595,26319080,3841449,1991181,1850268,170381,85356,85025,150772,80122,70650,209322,107416,101906,545446,283359,262087,19102572,14056279,5046293,6690947,2138089,4552858,34554504,15249284,19305220,753357,720947,7222240,5053505,95105,129109,3329726,2723884,1891712,1208241,892927,479095,513095,273054,344518,175315,624,300,8426,2180,144781,61396
24,State - GUJARAT  24,50671017,26385577,24285440,45143074,23538770,21604304,4592854,2370832,2222022,284092,142881,141211,45587,24987,20600,17829,9439,8390,525305,266768,258537,17025074,13480566,3544508,4230447,996720,3233727,29415496,11908291,17507205,556777,486350,5466281,4043222,8118,4613,2244549,1808775,1454462,1069068,791809,524529,527126,361620,286959,204055,2723,791,43258,12064,105116,57063
25,State - DAMAN & DIU  25,158204,92512,65692,141901,83569,58332,12281,6827,5454,3362,1729,1633,145,92,53,126,92,34,268,134,134,67522,58874,8648,5269,1695,3574,85413,31943,53470,2036,1872,14716,11887,18,9,5699,4959,3993,3448,2267,1863,1571,1023,863,440,5,2,138,37,160,106
26,State - DADRA & NAGAR HAVELI  26,220490,121666,98824,206203,113650,92553,6524,3855,2669,6058,3185,2873,123,96,27,457,279,178,864,456,408,96184,71156,25028,17938,4679,13259,106368,45831,60537,2858,2467,18925,13037,26,23,8564,6548,5765,3653,2400,1460,1210,809,556,360,17,6,213,74,172,104
27,State - MAHARASHTRA  27,96878627,50400596,46478031,77859385,40496085,37363300,10270485,5437926,4832559,1058313,530975,527338,215337,117736,97601,5838710,2977607,2861103,1301843,670236,631607,34748053,24416295,10331758,6425298,2435800,3989498,55705276,23548501,32156775,1186551,1178106,12281811,9791737,51051,57733,4230536,3780191,3399787,2894000,1847546,1405376,1377811,912024,947955,557633,1752,1160,78103,16703,347223,166882
28,State - ANDHRA PRADESH  28,76210007,38527413,37682594,67836651,34278050,33558601,6986856,3562239,3424617,1181917,580319,601598,30998,17264,13734,32037,16342,15695,41846,21613,20233,29040873,19455492,9585381,5852986,2206700,3646286,41316148,16865221,24450927,1332032,1386969,8337498,6459159,49780,86038,3074498,2762981,2229344,1772467,1106130,800617,873646,567703,620781,342632,7681,2355,63573,11339,311122,112344
29,State - KARNATAKA  29,52850562,26898918,25951644,44321279,22549324,21771955,6463127,3302582,3160545,1009164,497205,511959,15326,8811,6515,393300,206227,187073,412659,214244,198415,19364759,13896845,5467914,4170032,1338510,2831522,29315771,11663563,17652208,480932,479830,5718548,4634886,19792,9132,2194213,1976901,1566191,1320660,802426,622632,539716,385229,371411,237641,9890,3169,56062,14270,158842,65247
30,State - GOA  30,1347668,687248,660420,886551,462186,424365,92210,49391,42819,359568,170680,188888,970,590,380,649,357,292,820,435,385,425305,326993,98312,97550,48225,49325,824813,312030,512783,15446,15326,139253,123497,240,133,42014,38596,38239,33658,24662,22107,16741,14522,12491,11088,33,21,1663,434,3170,2938
31,State - LAKSHADWEEP  31,60650,31131,29519,2221,1776,445,57903,28921,28982,509,422,87,6,6,0,1,0,1,0,0,0,11710,10288,1422,3644,2916,728,45296,17927,27369,1423,1332,7829,6482,10,13,3273,2646,2671,2221,1325,1196,462,368,57,20,1,3,3,3,26,12
32,State - KERALA  32,31841374,15468614,16372760,17883449,8690473,9192976,7863842,3776371,4087471,6057427,2981790,3075637,2762,1611,1151,2027,1081,946,4528,2268,2260,8236973,6460693,1776280,2046914,1304952,741962,21557487,7702969,13854518,411566,404281,3357096,3249297,6445,5487,1012488,931532,959495,869709,658944,631214,381509,418582,215751,284195,1046,1474,42767,19016,78584,88059
33,State - TAMIL NADU  33,62405679,31400909,31004770,54985079,27732367,27252712,3470647,1718511,1752136,3785060,1864044,1921016,9545,5515,4030,5393,2887,2506,83359,43114,40245,23757783,16303310,7454473,4120499,1797087,2323412,34527397,13300512,21226885,1058736,1023655,6121119,5384797,77473,53034,1929954,1746644,1902355,1702757,1002959,922597,651609,563700,321901,280987,5236,1790,66749,12746,162759,100488
34,State - PONDICHERRY  34,974345,486961,487384,845449,425459,419990,59358,28303,31055,67688,32214,35474,108,70,38,73,41,32,952,501,451,317367,245205,72162,25288,13465,11823,631690,228291,403399,20270,19500,108109,95549,244,150,30858,28115,30522,28655,17771,16372,12081,10686,8510,7445,97,49,1812,464,6214,3613
35,State - ANDAMAN & NICOBAR ISLANDS  35,356152,192972,163180,246589,134878,111711,29265,15736,13529,77178,40529,36649,1587,873,714,421,310,111,23,12,11,113607,97349,16258,22647,11813,10834,219898,83810,136088,5153,4832,41153,37249,59,46,15148,13749,11958,10739,7416,6835,3927,3625,1794,1565,5,2,168,125,676,561
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
