SR NO.,State,Region,Total.pop,Males.pop,Females.pop,Total.hindus,hindu.Males,hindu.Females,total.muslims,muslim.Males,muslim.Female,total.christ,christ.Males,christ.Females,total.sikhs,sikhs.Males,sikhs.Females,total.buddhists,buddhist.Males,buddhist.Females,total.jains,jain.Males,jain.Females,Total.main.worker,male.main.worker,female.male.worker,Total.marginal,male.marginal,female.marginal,Non.workers,Males.nonworker,Females.nonworker,Illiterate.Male,Illiterat.female,Male.Literate.without.educational.level.non.formal.,Female.Literate.without.educational.level.non.formal.,Male.Literate.without.educational.level.formal.,Female.Literate.without.educational.level.formal.,male.primary,female.primary,male.middle,female.middle,male.Matriculation..Secondary,female.Matriculation..Secondary,Higher.Secondary..Intermediate................................Pre.University.......................Senior.Secondary.female,Higher.Secondary..Intermediate................................Pre.University.......................Senior.Secondary..male,m.Non.technical.diploma.or.certificate.not.equal.to.degree,f.Non.technical.diploma.or.certificate.not.equal.to.degree,male.Technical.diploma.or.certificate.not.equal.to.degree,female.Technical.diploma.or.certificate.not.equal.to.degree,male.graduate.and.above,female.graduate.and.above,X..1981 to 1991,Literacy_rates
15,State-Mizoram,Total,689756,358978,330778,34788,25327,9461,4538,4126,412,591342,298630,292712,299,268,31,54024,28193,25831,4,4,0,290317,178011,112306,47028,15370,31658,352411,165597,186814,107427,120399,1500,1409,83265,82554,69876,57755,61419,50829,18837,10520,6322,3035,1613,1433,199,113,8520,2731,39.7,82.27
16,State-Nagaland,Total,1209546,641282,568264,122473,78928,43545,20642,12864,7778,1057940,544892,513048,732,520,212,581,319,262,1202,690,512,511497,299437,212060,4740,1078,3662,693309,340767,352542,278053,313757,8621,5556,79150,70731,91545,70540,110549,73063,40648,21613,15703,7634,460,311,731,112,15822,4947,56.08,61.65
17,State-Orissa,Total,31659736,16064146,15595590,29971257,15212437,14758820,577775,298062,279713,666220,329940,336280,17296,9532,7764,9153,4883,4270,6302,3328,2974,10377635,8490943,1886692,1505127,149828,1355299,19776974,7423375,12353599,7644755,11099064,205471,96180,2705623,1605386,1771557,1114596,2142639,1117514,764009,310435,293980,109496,20846,4970,77582,19186,437684,118763,20.06,49.09
18,State-Punjab,Total,20281969,10778034,9503935,6989226,3742642,3246584,239401,131284,108117,225163,119943,105220,12767697,6750519,6017178,24930,13480,11450,20763,10662,10101,6098374,5832852,265522,163615,10491,153124,14019980,4934691,9085289,4858809,5491044,40506,26524,1193914,900998,1499224,1273144,1127003,670949,1373817,715039,267547,162696,9500,10394,44986,25985,362728,227162,20.81,58.51
19,State-Rajasthan,Total,44005990,23042780,20963210,39201099,20543219,18657880,3525339,1835622,1689717,47989,24308,23681,649174,343997,305177,4467,2587,1880,562806,284148,278658,13915071,11182060,2733011,3189301,178183,3011118,26901618,11682537,15219081,12913087,17543815,193796,80335,2615683,1078786,2871548,1062892,2005336,552229,1001509,252212,763199,191960,11470,3332,26578,3940,640574,193709,28.44,38.55
20,State-Sikkim,Total,406457,216427,190030,277881,148305,129576,3849,2735,1114,13413,6927,6486,375,202,173,110371,57945,52426,40,26,14,164392,109994,54398,4329,937,3392,237736,105496,132240,99201,118316,4469,1787,36950,25066,28289,17739,23077,14359,14526,8628,5052,2267,53,24,136,27,4674,1817,28.47,56.94
21,State-Tamil Nadu,Total,55858946,28298975,27559971,49532052,25136029,24396023,3052717,1527137,1525580,3179410,1585208,1594202,5449,3170,2279,2128,1221,907,66900,34882,32018,22799066,15874517,6924549,1395277,82954,1312323,31664603,12341504,19323099,10248802,15273909,235139,148939,3935330,3252398,5681840,4210306,3170445,2097584,2945757,1554015,848377,535654,26580,9210,192537,29162,1014168,448794,15.39,62.66
22,State-Tripura,Total,2757205,1417930,1339275,2384934,1226645,1158289,196495,100799,95696,46472,24202,22270,740,636,104,128260,65465,62795,301,181,120,802063,666287,135776,56454,7897,48557,1898688,743746,1154942,595528,795697,4116,2252,319400,240322,202494,147889,165895,96263,53952,24552,30172,14040,465,207,1999,130,43909,17923,34.3,60.44
23,State-Uttar Pradesh,Total,139112287,74036957,65075330,113712829,60641137,53071692,24109684,12709330,11400354,199575,101771,97804,675775,361641,314134,221433,119306,102127,176259,91999,84260,41360734,36510310,4850424,3438546,269660,3168886,94313007,37256987,57056020,40926108,52041983,1465535,449171,6505128,3354753,7933631,3934633,7215543,2420334,4784792,1296169,2807429,797199,82969,20030,77552,10339,2238270,750719,25.61,41.6
24,State-West Bengal,Total,68077965,35510633,32567332,50866624,26571395,24295229,16075836,8360835,7715001,383477,193347,190130,55392,31092,24300,203578,104072,99506,34355,18326,16029,20581048,17989505,2591543,1333726,262414,1071312,46163191,17258714,28904477,15418797,20049771,265280,226019,4666746,3488332,5767089,4088353,4786882,2779681,2017960,937727,1039651,421375,13260,3170,62160,6830,1472808,566074,24.73,57.7
25,State-Andaman And Nicobar Islands,Total,280661,154369,126292,189521,105439,84082,21354,11584,9770,67211,35882,31329,1350,708,642,322,269,53,17,8,9,90807,80665,10142,8094,1652,6442,181760,72052,109708,50992,58583,255,180,25628,19871,31215,20616,19880,11898,14670,8169,5755,3898,110,45,1405,347,4459,2685,48.7,73.02
26,State-Chandigarh U.T.,Total,642015,358614,283401,132213,67565,64648,3341,1824,1517,2092,1118,974,20,8,12,200,110,90,529,267,262,223628,194502,29126,666,349,317,417721,163763,253958,105767,111188,511,392,37600,29605,42357,33238,36373,23094,53109,30031,22254,15724,261,1016,3968,2325,56414,36788,42.16,77.81
27,State-Dadra And Nagar Haveli,Total,138477,70953,67524,486895,275223,211672,17477,10464,7013,5030,2557,2473,130288,69078,61210,699,424,275,1531,804,727,60801,39691,21110,12938,1104,11834,64738,30158,34580,40490,53153,48,37,7741,3758,11279,5759,3739,1813,4420,1730,1249,492,216,234,455,50,1316,498,33.57,40.71
28,State-Daman And Diu,Total,101586,51595,49991,89153,45414,43739,9048,4474,4574,2904,1438,1466,101,59,42,31,20,11,212,115,97,32162,26143,6019,6062,497,5565,63362,24955,38407,15608,24882,47,26,2224,1964,18969,15611,5932,3684,5440,2423,1371,619,195,177,392,81,1417,524,28.62,71.2
29,State-Delhi U.T.,Total,9420644,5155512,4265132,7882164,4324274,3557890,889641,494696,394945,83152,41823,41329,455657,237154,218503,13906,7594,6312,94672,49120,45552,2968377,2660967,307410,12084,5418,6666,6440183,2489127,3951056,1616012,1922335,10308,7862,426825,347310,654603,527545,740917,456238,655367,345901,391638,236817,1517,2597,35230,12057,623095,406470,51.45,75.29
30,State-Lakshadweep U.T.,Total,51707,26618,25089,2337,1629,708,48765,24524,24241,598,460,138,1,1,0,1,1,0,0,0,0,12388,10920,1468,1276,838,438,38043,14860,23183,7013,10146,883,1038,4481,4113,6397,5201,4274,3115,2193,1086,247,64,40,8,584,215,506,103,28.47,81.78
31,State-Pondicherry U.T.,Total,807785,408081,399704,695981,354547,341434,52867,25266,27601,58362,27935,30427,29,18,11,39,25,14,470,268,202,261800,204500,57300,5414,1803,3611,540571,201778,338793,113655,172917,855,809,56540,55135,82592,76893,55873,42495,54263,30590,16750,10710,157,76,5191,1042,22205,9037,33.64,74.74
